Tiempo,SPU
28/04/2021 18:24,10853.43624
28/04/2021 18:24,10852.34687
28/04/2021 18:24,10850.34467
28/04/2021 18:24,10839.4109
28/04/2021 18:24,10863.45576
28/04/2021 18:24,10878.13414
28/04/2021 18:24,10869.0798
28/04/2021 18:24,10864.79111
28/04/2021 18:24,10866.71469
28/04/2021 18:24,10884.15758
28/04/2021 18:24,10870.24131
28/04/2021 18:24,10880.72545
28/04/2021 18:24,10862.53531
28/04/2021 18:24,10883.942
28/04/2021 18:24,10870.75273
28/04/2021 18:24,10894.50939
28/04/2021 18:24,10877.1998
28/04/2021 18:24,10879.71215
28/04/2021 18:24,10881.75172
28/04/2021 18:24,10891.15959
28/04/2021 18:24,10893.66667
28/04/2021 18:24,10890.27778
28/04/2021 18:24,10918.92367
28/04/2021 18:24,10910.14606
28/04/2021 18:24,10893.57477
28/04/2021 18:24,10902.40101
28/04/2021 18:24,10897.93551
28/04/2021 18:24,10916.62242
28/04/2021 18:24,10911.83252
28/04/2021 18:24,10914.59253
28/04/2021 18:24,10913.2972
28/04/2021 18:24,10915.62889
28/04/2021 18:24,10923.02352
28/04/2021 18:24,10911.91837
28/04/2021 18:24,10915.06121
28/04/2021 18:24,10921.70991
28/04/2021 18:24,10920.78278
28/04/2021 18:24,10928.65495
28/04/2021 18:24,10909.7303
28/04/2021 18:24,10921.46184
28/04/2021 18:24,10923.6388
28/04/2021 18:24,10922.48598
28/04/2021 18:24,10920.45037
28/04/2021 18:24,10933.64202
28/04/2021 18:24,10957.20343
28/04/2021 18:24,10918.8796
28/04/2021 18:24,10930.15245
28/04/2021 18:24,10922.26848
28/04/2021 18:24,10924.43907
28/04/2021 18:24,10938.27648
28/04/2021 18:24,10928.25633
28/04/2021 18:24,10927.12141
28/04/2021 18:24,10951.1628
28/04/2021 18:24,10940.41093
28/04/2021 18:24,10924.84857
28/04/2021 18:24,10936.12463
28/04/2021 18:24,10943.68323
28/04/2021 18:24,10951.82388
28/04/2021 18:24,10945.25
28/04/2021 18:24,10926.08393
